n;gridSize;blockSize;p;q;clocks;seconds
41989;2;32;211;199;6077;0.006077
41989;2;64;211;199;14898;0.014898
41989;2;96;211;199;30407;0.030407
41989;2;128;211;199;46292;0.046292
41989;2;160;211;199;77978;0.077978
41989;2;192;211;199;99913;0.099913
41989;2;224;211;199;124778;0.124778
41989;2;256;211;199;151987;0.151987
41989;2;288;211;199;178167;0.178167
41989;2;320;211;199;218671;0.218671
41989;2;352;211;199;260096;0.260096
41989;2;384;211;199;306045;0.306045
41989;2;416;211;199;345963;0.345963
41989;2;448;211;199;393700;0.393700
41989;2;480;211;199;439488;0.439488
41989;2;512;211;199;500895;0.500895
41989;2;544;211;199;572069;0.572069
41989;2;576;211;199;627116;0.627116
41989;2;608;211;199;685590;0.685590
41989;2;640;211;199;754782;0.754782
41989;2;672;211;199;826823;0.826823
41989;2;704;211;199;877745;0.877745
41989;2;736;211;199;966195;0.966195
41989;2;768;211;199;1048997;1.048997
41989;2;800;211;199;1145448;1.145448
41989;2;832;211;199;1256637;1.256637
41989;2;864;211;199;1321873;1.321873
41989;2;896;211;199;1420732;1.420732
41989;2;928;211;199;1477438;1.477438
41989;2;960;211;199;1587715;1.587715
41989;2;992;211;199;1671679;1.671679
41989;2;1024;211;199;1795974;1.795974
41989;4;32;211;199;20036;0.020036
41989;4;64;211;199;40354;0.040354
41989;4;96;211;199;91202;0.091202
41989;4;128;211;199;146799;0.146799
41989;4;160;211;199;218691;0.218691
41989;4;192;211;199;306022;0.306022
41989;4;224;211;199;394083;0.394083
41989;4;256;211;199;500378;0.500378
41989;4;288;211;199;627111;0.627111
41989;4;320;211;199;754682;0.754682
41989;4;352;211;199;878358;0.878358
41989;4;384;211;199;1049118;1.049118
41989;4;416;211;199;1255859;1.255859
41989;4;448;211;199;1416044;1.416044
41989;4;480;211;199;1587911;1.587911
41989;4;512;211;199;1795602;1.795602
41989;4;544;211;199;2016361;2.016361
41989;4;576;211;199;2237825;2.237825
41989;4;608;211;199;2500754;2.500754
41989;4;640;211;199;2716761;2.716761
41989;4;672;211;199;2990853;2.990853
41989;4;704;211;199;3299035;3.299035
41989;4;736;211;199;3536724;3.536724
41989;4;768;211;199;3820197;3.820197
41989;4;800;211;199;4090063;4.090063
41989;4;832;211;199;4431482;4.431482
41989;4;864;211;199;4723700;4.723700
41989;4;896;211;199;5113095;5.113095
41989;4;928;211;199;5470842;5.470842
41989;4;960;211;199;5799612;5.799612
41989;4;992;211;199;6197067;6.197067
41989;4;1024;211;199;6600453;6.600453
41989;6;32;211;199;33364;0.033364
41989;6;64;211;199;84232;0.084232
41989;6;96;211;199;177304;0.177304
41989;6;128;211;199;305942;0.305942
41989;6;160;211;199;439370;0.439370
41989;6;192;211;199;627211;0.627211
41989;6;224;211;199;826819;0.826819
41989;6;256;211;199;1049201;1.049201
41989;6;288;211;199;1329362;1.329362
41989;6;320;211;199;1587778;1.587778
41989;6;352;211;199;1911673;1.911673
41989;6;384;211;199;2238319;2.238319
41989;6;416;211;199;2591629;2.591629
41989;6;448;211;199;2990841;2.990841
41989;6;480;211;199;3418583;3.418583
