gridSize;blockSize;p;q;clocks;seconds
2;32;20921;20903;989224;0,989224
2;64;20921;20903;730888;0,730888
2;96;20921;20903;686755;0,686755
2;128;20921;20903;696448;0,696448
2;160;20921;20903;735557;0,735557
2;192;20921;20903;772058;0,772058
2;224;20921;20903;834172;0,834172
2;256;20921;20903;927008;0,927008
2;288;20921;20903;1010130;1,010130
2;320;20921;20903;1080758;1,080758
2;352;20921;20903;1176269;1,176269
2;384;20921;20903;1273955;1,273955
2;416;20921;20903;1364212;1,364212
2;448;20921;20903;1434450;1,434450
2;480;20921;20903;1569862;1,569862
2;512;20921;20903;1633692;1,633692
2;544;20921;20903;1653529;1,653529
2;576;20921;20903;1670566;1,670566
2;608;20921;20903;1681412;1,681412
2;640;20921;20903;1702379;1,702379
2;672;20921;20903;1710307;1,710307
2;704;20921;20903;1729453;1,729453
2;736;20921;20903;1747336;1,747336
2;768;20921;20903;1770963;1,770963
2;800;20921;20903;1789810;1,789810
2;832;20921;20903;1812711;1,812711
2;864;20921;20903;1830051;1,830051
2;896;20921;20903;1856361;1,856361
2;928;20921;20903;1875490;1,875490
2;960;20921;20903;1905616;1,905616
2;992;20921;20903;1919949;1,919949
2;1024;20921;20903;1943216;1,943216
4;32;20921;20903;730488;0,730488
4;64;20921;20903;701817;0,701817
4;96;20921;20903;777241;0,777241
4;128;20921;20903;921564;0,921564
4;160;20921;20903;1080688;1,080688
4;192;20921;20903;1271350;1,271350
4;224;20921;20903;1433094;1,433094
4;256;20921;20903;1630738;1,630738
4;288;20921;20903;1667526;1,667526
4;320;20921;20903;1699577;1,699577
4;352;20921;20903;1729533;1,729533
4;384;20921;20903;1768067;1,768067
4;416;20921;20903;1811919;1,811919
4;448;20921;20903;1855665;1,855665
4;480;20921;20903;1902568;1,902568
4;512;20921;20903;1939898;1,939898
4;544;20921;20903;1998930;1,998930
4;576;20921;20903;2047361;2,047361
4;608;20921;20903;2104993;2,104993
4;640;20921;20903;2152980;2,152980
4;672;20921;20903;2198619;2,198619
4;704;20921;20903;2261404;2,261404
4;736;20921;20903;2319653;2,319653
4;768;20921;20903;2389496;2,389496
4;800;20921;20903;2456488;2,456488
4;832;20921;20903;2520329;2,520329
4;864;20921;20903;2591184;2,591184
4;896;20921;20903;2662734;2,662734
4;928;20921;20903;2737157;2,737157
4;960;20921;20903;2807618;2,807618
4;992;20921;20903;2878674;2,878674
4;1024;20921;20903;2951097;2,951097
6;32;20921;20903;683425;0,683425
6;64;20921;20903;774585;0,774585
6;96;20921;20903;1015540;1,015540
6;128;20921;20903;1271349;1,271349
6;160;20921;20903;1570403;1,570403
6;192;20921;20903;1667325;1,667325
