gridSize;blockSize;p;q;clocks;seconds
2;32;20921;20903;1528464;1.528464
2;64;20921;20903;932061;0.932061
2;96;20921;20903;708112;0.708112
2;128;20921;20903;706161;0.706161
2;160;20921;20903;735264;0.735264
2;192;20921;20903;781489;0.781489
2;224;20921;20903;838055;0.838055
2;256;20921;20903;926429;0.926429
2;288;20921;20903;1017555;1.017555
2;320;20921;20903;1088091;1.088091
2;352;20921;20903;1178211;1.178211
2;384;20921;20903;1278503;1.278503
2;416;20921;20903;1367425;1.367425
2;448;20921;20903;1434385;1.434385
2;480;20921;20903;1567959;1.567959
2;512;20921;20903;1632300;1.632300
2;544;20921;20903;1656787;1.656787
2;576;20921;20903;1672544;1.672544
2;608;20921;20903;1684594;1.684594
2;640;20921;20903;1706419;1.706419
2;672;20921;20903;1714167;1.714167
2;704;20921;20903;1735520;1.735520
2;736;20921;20903;1754938;1.754938
2;768;20921;20903;1772489;1.772489
2;800;20921;20903;1793624;1.793624
2;832;20921;20903;1815973;1.815973
2;864;20921;20903;1831619;1.831619
2;896;20921;20903;1857821;1.857821
2;928;20921;20903;1881453;1.881453
2;960;20921;20903;1909438;1.909438
2;992;20921;20903;1923974;1.923974
2;1024;20921;20903;1944027;1.944027
4;32;20921;20903;738260;0.738260
4;64;20921;20903;703060;0.703060
4;96;20921;20903;779712;0.779712
4;128;20921;20903;928167;0.928167
4;160;20921;20903;1082710;1.082710
4;192;20921;20903;1278378;1.278378
4;224;20921;20903;1435725;1.435725
4;256;20921;20903;1637686;1.637686
4;288;20921;20903;1674120;1.674120
4;320;20921;20903;1704610;1.704610
4;352;20921;20903;1736398;1.736398
4;384;20921;20903;1775012;1.775012
4;416;20921;20903;1815809;1.815809
4;448;20921;20903;1859969;1.859969
4;480;20921;20903;1909742;1.909742
4;512;20921;20903;1946502;1.946502
4;544;20921;20903;2000364;2.000364
4;576;20921;20903;2058411;2.058411
4;608;20921;20903;2105055;2.105055
4;640;20921;20903;2157931;2.157931
4;672;20921;20903;2204220;2.204220
4;704;20921;20903;2265798;2.265798
4;736;20921;20903;2322016;2.322016
4;768;20921;20903;2395137;2.395137
4;800;20921;20903;2460634;2.460634
4;832;20921;20903;2520877;2.520877
4;864;20921;20903;2592969;2.592969
4;896;20921;20903;2666327;2.666327
4;928;20921;20903;2739963;2.739963
4;960;20921;20903;2811978;2.811978
4;992;20921;20903;2882504;2.882504
4;1024;20921;20903;2958156;2.958156
6;32;20921;20903;686461;0.686461
6;64;20921;20903;780091;0.780091
6;96;20921;20903;1018540;1.018540
6;128;20921;20903;1278432;1.278432
6;160;20921;20903;1572043;1.572043
6;192;20921;20903;1669972;1.669972
6;224;20921;20903;1716751;1.716751
6;256;20921;20903;1770879;1.770879
6;288;20921;20903;1829861;1.829861
6;320;20921;20903;1908326;1.908326
6;352;20921;20903;1967810;1.967810
6;384;20921;20903;2051763;2.051763
6;416;20921;20903;2128901;2.128901
6;448;20921;20903;2205376;2.205376
6;480;20921;20903;2293915;2.293915
6;512;20921;20903;2396990;2.396990
6;544;20921;20903;2492136;2.492136
6;576;20921;20903;2596682;2.596682
6;608;20921;20903;2710781;2.710781
