gridSize;blockSize;p;q;clocks;seconds
1;32;20921;20903;2365382;2.365382
1;64;20921;20903;1451015;1.451015
1;96;20921;20903;1102124;1.102124
1;128;20921;20903;992927;0.992927
1;160;20921;20903;942077;0.942077
1;192;20921;20903;927555;0.927555
1;224;20921;20903;929170;0.929170
1;256;20921;20903;940883;0.940883
1;288;20921;20903;881588;0.881588
1;320;20921;20903;918119;0.918119
1;352;20921;20903;944953;0.944953
1;384;20921;20903;965581;0.965581
1;416;20921;20903;950964;0.950964
1;448;20921;20903;985092;0.985092
1;480;20921;20903;1030235;1.030235
1;512;20921;20903;1089955;1.089955
1;544;20921;20903;1118717;1.118717
1;576;20921;20903;1180559;1.180559
1;608;20921;20903;1194709;1.194709
1;640;20921;20903;1217135;1.217135
1;672;20921;20903;1270776;1.270776
1;704;20921;20903;1316830;1.316830
1;736;20921;20903;1332642;1.332642
1;768;20921;20903;1394923;1.394923
1;800;20921;20903;1444082;1.444082
1;832;20921;20903;1458402;1.458402
1;864;20921;20903;1509635;1.509635
1;896;20921;20903;1438787;1.438787
1;928;20921;20903;1512633;1.512633
1;960;20921;20903;1573100;1.573100
1;992;20921;20903;1623941;1.623941
1;1024;20921;20903;1629091;1.629091
2;32;20921;20903;983143;0.983143
2;64;20921;20903;732220;0.732220
2;96;20921;20903;685018;0.685018
2;128;20921;20903;696851;0.696851
2;160;20921;20903;729943;0.729943
2;192;20921;20903;775567;0.775567
2;224;20921;20903;832521;0.832521
2;256;20921;20903;919270;0.919270
2;288;20921;20903;1010159;1.010159
2;320;20921;20903;1077990;1.077990
2;352;20921;20903;1174829;1.174829
2;384;20921;20903;1272980;1.272980
2;416;20921;20903;1360954;1.360954
2;448;20921;20903;1430670;1.430670
2;480;20921;20903;1571486;1.571486
2;512;20921;20903;1630853;1.630853
2;544;20921;20903;1651693;1.651693
2;576;20921;20903;1663966;1.663966
2;608;20921;20903;1682855;1.682855
2;640;20921;20903;1701998;1.701998
2;672;20921;20903;1712192;1.712192
2;704;20921;20903;1731067;1.731067
2;736;20921;20903;1748118;1.748118
2;768;20921;20903;1765873;1.765873
2;800;20921;20903;1787473;1.787473
2;832;20921;20903;1811378;1.811378
2;864;20921;20903;1829424;1.829424
2;896;20921;20903;1852818;1.852818
2;928;20921;20903;1872916;1.872916
2;960;20921;20903;1904511;1.904511
2;992;20921;20903;1921524;1.921524
2;1024;20921;20903;1938716;1.938716
4;32;20921;20903;728330;0.728330
4;64;20921;20903;700566;0.700566
4;96;20921;20903;774425;0.774425
4;128;20921;20903;919293;0.919293
4;160;20921;20903;1082625;1.082625
4;192;20921;20903;1268822;1.268822
4;224;20921;20903;1435673;1.435673
4;256;20921;20903;1631537;1.631537
4;288;20921;20903;1664836;1.664836
4;320;20921;20903;1696885;1.696885
4;352;20921;20903;1730826;1.730826
4;384;20921;20903;1767809;1.767809
4;416;20921;20903;1805487;1.805487
4;448;20921;20903;1855618;1.855618
4;480;20921;20903;1903178;1.903178
4;512;20921;20903;1941356;1.941356
4;544;20921;20903;1993255;1.993255
4;576;20921;20903;2049045;2.049045
4;608;20921;20903;2097492;2.097492
4;640;20921;20903;2155131;2.155131
4;672;20921;20903;2201602;2.201602
4;704;20921;20903;2258846;2.258846
4;736;20921;20903;2311795;2.311795
4;768;20921;20903;2392293;2.392293
4;800;20921;20903;2458032;2.458032
4;832;20921;20903;2514677;2.514677
4;864;20921;20903;2591067;2.591067
4;896;20921;20903;2663822;2.663822
4;928;20921;20903;2731645;2.731645
4;960;20921;20903;2810297;2.810297
4;992;20921;20903;2878270;2.878270
4;1024;20921;20903;2948608;2.948608
8;32;20921;20903;699927;0.699927
8;64;20921;20903;921415;0.921415
8;96;20921;20903;1268812;1.268812
8;128;20921;20903;1632076;1.632076
8;160;20921;20903;1701030;1.701030
8;192;20921;20903;1766047;1.766047
8;224;20921;20903;1850961;1.850961
8;256;20921;20903;1941359;1.941359
8;288;20921;20903;2049484;2.049484
8;320;20921;20903;2148888;2.148888
8;352;20921;20903;2257003;2.257003
8;384;20921;20903;2392897;2.392897
8;416;20921;20903;2519506;2.519506
8;448;20921;20903;2659513;2.659513
8;480;20921;20903;2803772;2.803772
8;512;20921;20903;2951802;2.951802
8;544;20921;20903;3110171;3.110171
8;576;20921;20903;3295589;3.295589
8;608;20921;20903;3446597;3.446597
8;640;20921;20903;3647637;3.647637
8;672;20921;20903;3867832;3.867832
8;704;20921;20903;4052542;4.052542
8;736;20921;20903;4278788;4.278788
8;768;20921;20903;4463857;4.463857
8;800;20921;20903;4708354;4.708354
8;832;20921;20903;4922950;4.922950
8;864;20921;20903;5129651;5.129651
8;896;20921;20903;5418133;5.418133
8;928;20921;20903;5665693;5.665693
8;960;20921;20903;5893668;5.893668
8;992;20921;20903;6175316;6.175316
8;1024;20921;20903;6458527;6.458527
16;32;20921;20903;924509;0.924509
16;64;20921;20903;1003767;1.003767
16;96;20921;20903;1000997;1.000997
16;128;20921;20903;1937850;1.937850
16;160;20921;20903;2148818;2.148818
16;192;20921;20903;2383735;2.383735
16;224;20921;20903;2666717;2.666717
16;256;20921;20903;2949354;2.949354
16;288;20921;20903;3300642;3.300642
16;320;20921;20903;1002211;1.002211
16;352;20921;20903;4053465;4.053465
16;384;20921;20903;4465680;4.465680
16;416;20921;20903;4926429;4.926429
16;448;20921;20903;5417057;5.417057
16;480;20921;20903;5899446;5.899446
16;512;20921;20903;3452540;3.452540
16;544;20921;20903;45049076;45.049076
16;576;20921;20903;7657894;7.657894
